,Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
27554,27555,1.7,Premium,E,VS2,58.6,62.0,18342,7.92,7.84,4.62
27556,27557,2.07,Ideal,F,SI2,61.5,55.0,18344,8.23,8.28,5.08
27562,27563,2.06,Ideal,D,SI2,60.3,56.0,18371,8.29,8.25,4.99
27568,27569,2.0,Good,F,SI1,63.0,61.0,18376,7.85,7.99,4.99
27576,27577,2.08,Very Good,D,SI2,60.1,59.0,18405,8.29,8.37,5.01
27577,27578,2.11,Very Good,D,SI2,60.9,60.0,18407,8.21,8.28,5.02
27578,27579,1.54,Ideal,F,VS1,60.3,57.0,18416,7.49,7.56,4.54
27580,27581,1.6,Ideal,F,VS2,62.0,55.0,18421,7.49,7.54,4.66
27590,27591,2.22,Premium,I,SI1,59.9,59.0,18432,8.46,8.41,5.05
27593,27594,2.0,Ideal,H,SI1,62.8,52.0,18440,8.05,8.1,5.06
27594,27595,2.0,Ideal,H,SI1,63.9,54.0,18440,7.92,8.0,5.1
27597,27598,1.7,Ideal,G,VVS1,61.0,56.0,18445,7.67,7.62,4.66
27599,27600,2.08,Premium,I,VS2,58.9,61.0,18447,8.36,8.35,4.92
27600,27601,2.03,Ideal,F,SI2,63.3,55.0,18458,7.96,8.05,5.08
27601,27602,2.1,Ideal,H,SI2,63.1,55.0,18462,8.17,8.13,5.14
27606,27607,2.01,Good,H,VS2,64.1,59.0,18474,7.91,7.85,5.05
27611,27612,2.21,Very Good,F,SI2,61.0,58.0,18483,8.36,8.43,5.12
27618,27619,2.01,Very Good,H,VS2,63.2,58.0,18507,7.93,8.01,5.04
27620,27621,2.32,Very Good,H,SI2,60.6,58.0,18508,8.56,8.6,5.2
27621,27622,2.37,Ideal,J,SI1,61.9,55.0,18508,8.53,8.56,5.29
27626,27627,1.83,Premium,G,VS2,60.5,59.0,18525,7.99,7.89,4.8
27627,27628,2.14,Very Good,D,SI2,60.3,60.0,18526,8.31,8.43,5.05
27638,27639,3.04,Premium,I,SI2,59.3,60.0,18559,9.51,9.46,5.62
27640,27641,2.09,Premium,H,SI1,61.1,56.0,18559,8.3,8.23,5.05
27643,27644,2.02,Fair,H,VS2,64.5,57.0,18565,8.0,7.95,5.14
27644,27645,1.6,Ideal,F,VS1,60.5,57.0,18571,7.6,7.63,4.61
27645,27646,2.01,Good,G,SI1,63.1,59.0,18572,7.98,8.03,5.05
27646,27647,2.01,Fair,G,SI1,70.6,64.0,18574,7.43,6.64,4.69
27648,27649,2.03,Ideal,F,SI2,61.6,55.0,18578,8.19,8.14,5.03
27653,27654,2.0,Ideal,H,SI1,65.0,61.0,18604,7.9,7.79,5.11
27659,27660,2.03,Very Good,G,SI1,60.1,60.0,18630,8.09,8.18,4.89
27664,27665,2.12,Premium,H,SI1,61.1,60.0,18656,8.18,8.26,5.02
27668,27669,2.02,Premium,F,SI2,62.1,56.0,18678,8.07,7.99,4.99
27672,27673,2.67,Good,F,SI2,63.8,58.0,18686,8.69,8.64,5.54
27673,27674,1.5,Very Good,G,VS2,60.7,59.0,18691,7.31,7.38,4.46
27676,27677,2.19,Ideal,D,SI2,61.8,57.0,18693,8.23,8.49,5.17
27677,27678,1.28,Ideal,E,IF,60.7,57.0,18700,7.09,6.99,4.27
27679,27680,3.51,Premium,J,VS2,62.5,59.0,18701,9.66,9.63,6.03
27689,27690,1.72,Premium,G,VVS2,61.8,60.0,18730,7.65,7.68,4.74
27690,27691,0.38,Ideal,I,VS2,60.5,56.0,648,4.71,4.74,2.85
27692,27693,0.41,Ideal,J,VS1,62.4,55.0,648,4.75,4.77,2.97
27698,27699,0.4,Ideal,D,SI2,60.5,57.0,648,4.73,4.76,2.87
27702,27703,0.26,Ideal,G,IF,60.8,56.0,648,4.11,4.15,2.51
27705,27706,0.36,Ideal,I,VS2,61.8,55.0,648,4.61,4.58,2.84
27706,27707,0.36,Premium,I,VS2,61.6,58.0,648,4.57,4.52,2.8
27720,27721,2.02,Very Good,E,SI1,59.8,59.0,18731,8.11,8.2,4.88
27721,27722,1.94,Premium,F,SI1,62.6,58.0,18735,7.91,7.87,4.94
27730,27731,2.08,Ideal,H,SI1,58.7,60.0,18760,8.36,8.4,4.92
27734,27735,2.06,Ideal,I,VS2,62.2,55.0,18779,8.15,8.19,5.08
27736,27737,2.03,Very Good,H,SI1,63.0,60.0,18781,8.0,7.93,5.02
27741,27742,2.15,Ideal,G,SI2,62.6,54.0,18791,8.29,8.35,5.21
27743,27744,2.0,Premium,I,VS1,60.8,59.0,18795,8.13,8.02,4.91
27745,27746,2.0,Very Good,H,SI1,62.8,57.0,18803,7.95,8.0,5.01
27751,27752,0.32,Premium,I,VS1,62.6,58.0,648,4.4,4.38,2.75
27760,27761,0.32,Premium,H,VS2,60.5,59.0,648,4.43,4.39,2.67
27768,27769,0.32,Premium,H,VS2,61.4,60.0,648,4.41,4.39,2.7
27769,27770,0.32,Premium,H,VS2,62.7,54.0,648,4.41,4.39,2.76
27780,27781,0.32,Premium,H,VS2,62.4,58.0,648,4.36,4.33,2.71
27783,27784,0.32,Ideal,H,VS2,63.0,57.0,648,4.37,4.33,2.74
27786,27787,0.37,Premium,E,SI1,61.8,58.0,649,4.59,4.64,2.85
27787,27788,0.37,Ideal,E,SI1,61.9,56.0,649,4.57,4.6,2.84
27806,27807,0.3,Ideal,G,VVS2,61.9,57.0,650,4.3,4.33,2.66
27807,27808,0.23,Ideal,F,VVS2,61.6,54.0,650,3.97,3.99,2.45
27814,27815,0.28,Ideal,G,IF,62.4,55.0,650,4.17,4.2,2.61
27818,27819,0.34,Premium,G,SI1,59.7,59.0,650,4.54,4.5,2.7
27823,27824,0.34,Premium,D,SI2,60.7,61.0,650,4.51,4.45,2.72
27824,27825,0.34,Premium,D,SI2,60.6,60.0,650,4.53,4.48,2.73
27826,27827,0.39,Very Good,I,VS2,62.9,57.0,650,4.64,4.68,2.93
27827,27828,0.39,Premium,H,SI1,62.0,60.0,650,4.65,4.71,2.9
27832,27833,0.31,Very Good,H,VVS1,61.2,56.0,651,4.37,4.39,2.68
27834,27835,0.41,Very Good,J,IF,60.8,56.0,651,4.83,4.87,2.95
27837,27838,0.36,Ideal,H,VS1,61.5,55.0,651,4.59,4.62,2.83
27841,27842,0.31,Premium,E,SI1,61.2,58.0,651,4.38,4.34,2.67
27842,27843,0.31,Premium,E,SI1,58.7,60.0,651,4.48,4.45,2.62
27844,27845,0.31,Premium,E,SI1,63.0,58.0,651,4.31,4.29,2.71
27845,27846,0.31,Very Good,E,SI1,63.4,55.0,651,4.29,4.26,2.71
27846,27847,0.3,Ideal,D,VS1,62.2,56.0,651,4.27,4.31,2.67
27861,27862,0.31,Ideal,I,IF,61.3,57.0,652,4.34,4.4,2.68
27863,27864,0.31,Good,D,VS1,61.7,61.0,653,4.32,4.34,2.67
27864,27865,0.32,Ideal,G,SI1,61.4,56.0,653,4.44,4.42,2.72
27867,27868,0.38,Ideal,E,SI1,61.4,57.0,653,4.64,4.67,2.86
27880,27881,0.39,Ideal,H,SI1,61.9,55.7,654,4.66,4.71,2.9
27881,27882,0.41,Good,E,SI1,63.5,55.0,654,4.73,4.75,3.01
27884,27885,0.36,Ideal,I,VVS2,61.5,57.0,655,4.55,4.58,2.8
27886,27887,0.3,Ideal,G,VVS2,60.7,58.0,655,4.34,4.36,2.64
27887,27888,0.3,Ideal,G,VVS2,61.6,57.0,655,4.28,4.32,2.65
27890,27891,0.44,Ideal,F,SI2,61.7,54.0,655,4.9,4.92,3.03
27892,27893,0.32,Ideal,I,IF,61.6,56.0,655,4.4,4.43,2.72
27900,27901,0.4,Good,G,SI1,63.4,58.0,655,4.66,4.71,2.97
27904,27905,0.42,Very Good,D,SI2,62.9,55.0,656,4.78,4.82,3.02
27905,27906,0.31,Ideal,D,VS2,61.0,54.0,656,4.38,4.44,2.69
27907,27908,0.26,Very Good,F,VVS2,61.4,56.0,657,4.14,4.17,2.55
27924,27925,0.31,Ideal,G,VS1,61.5,54.0,658,4.39,4.43,2.71
27928,27929,0.38,Ideal,E,SI1,61.7,58.0,658,4.71,4.63,2.88
27929,27930,0.32,Good,E,VS2,64.1,54.0,658,4.32,4.36,2.78
27931,27932,0.26,Very Good,H,VS1,62.9,54.0,430,4.06,4.08,2.56
27935,27936,0.28,Ideal,G,SI1,60.7,56.0,430,4.25,4.28,2.59
27938,27939,0.31,Very Good,J,SI2,63.3,58.0,430,4.35,4.34,2.75
27940,27941,0.23,Very Good,H,VVS2,62.6,56.0,431,3.92,3.95,2.46
27944,27945,0.23,Very Good,G,VVS2,62.8,55.0,431,3.93,3.95,2.47
27948,27949,0.3,Very Good,G,SI1,62.4,54.0,432,4.33,4.35,2.71
27954,27955,0.27,Ideal,I,VS1,62.5,54.0,432,4.16,4.19,2.61
27962,27963,0.3,Very Good,E,VS2,62.4,56.0,658,4.26,4.33,2.68
27973,27974,0.3,Ideal,E,VS2,61.5,56.0,658,4.29,4.33,2.65
27977,27978,0.3,Very Good,E,VS2,62.4,57.0,658,4.24,4.29,2.66
27978,27979,0.3,Ideal,E,VS2,61.5,55.0,658,4.31,4.34,2.66
27983,27984,0.3,Premium,E,VS2,62.3,58.0,658,4.28,4.32,2.68
27985,27986,0.3,Ideal,E,VS2,62.0,55.0,658,4.27,4.31,2.66
27988,27989,0.3,Very Good,E,VS2,61.8,58.0,658,4.26,4.28,2.64
27993,27994,0.3,Ideal,E,VS2,62.2,56.0,658,4.28,4.3,2.67
27998,27999,0.3,Premium,E,VS2,62.4,59.0,658,4.26,4.3,2.67
27999,28000,0.3,Premium,E,VS2,62.5,58.0,658,4.26,4.31,2.68
28000,28001,0.3,Very Good,E,VS2,62.3,57.0,658,4.27,4.3,2.67
28001,28002,0.3,Ideal,E,VS2,61.8,57.0,658,4.3,4.34,2.67
28003,28004,0.3,Premium,E,VS2,59.1,58.0,658,4.37,4.39,2.59
28004,28005,0.3,Ideal,E,VS2,61.4,55.0,658,4.32,4.34,2.66
28005,28006,0.3,Premium,E,VS2,60.0,60.0,658,4.36,4.4,2.63
28009,28010,0.3,Premium,E,VS2,60.7,59.0,658,4.3,4.33,2.62
28017,28018,0.3,Ideal,E,VS2,60.2,57.0,658,4.36,4.38,2.63
28024,28025,0.3,Ideal,E,VS2,62.6,56.0,658,4.29,4.33,2.7
28029,28030,0.3,Ideal,E,VS2,61.5,55.0,658,4.29,4.33,2.65
28038,28039,0.41,Ideal,G,SI2,62.1,53.6,659,4.75,4.79,2.96
28040,28041,0.41,Fair,H,SI1,65.4,61.0,659,4.51,4.63,2.99
28041,28042,0.38,Good,I,SI1,63.7,57.0,659,4.63,4.57,2.93
28044,28045,0.33,Very Good,D,VS2,62.9,54.0,660,4.4,4.44,2.78
28045,28046,0.29,Very Good,G,VS1,58.1,59.0,660,4.39,4.42,2.56
28051,28052,0.38,Ideal,H,VS2,62.4,56.0,660,4.62,4.65,2.89
28056,28057,0.42,Ideal,D,SI2,61.1,55.0,660,4.82,4.86,2.96
28057,28058,0.38,Ideal,F,SI1,62.2,54.0,660,4.64,4.66,2.89
28061,28062,0.31,Ideal,E,SI1,61.5,55.0,660,4.37,4.41,2.7
28068,28069,0.32,Very Good,E,VS1,62.9,57.0,661,4.36,4.39,2.75
28071,28072,0.43,Good,G,SI2,58.8,61.0,661,4.92,4.94,2.9
28081,28082,0.32,Ideal,E,VS2,61.0,56.0,662,4.4,4.42,2.69
28085,28086,0.3,Very Good,D,SI1,63.4,54.0,662,4.31,4.27,2.72
28086,28087,0.3,Very Good,D,SI1,63.1,56.0,662,4.28,4.24,2.69
28091,28092,0.38,Ideal,E,SI2,62.2,56.0,663,4.64,4.66,2.89
28094,28095,0.31,Premium,F,SI1,60.5,60.0,663,4.39,4.37,2.65
28116,28117,0.36,Ideal,D,SI1,62.7,57.0,663,4.54,4.59,2.86
28118,28119,0.36,Ideal,D,SI1,62.1,56.0,663,4.53,4.58,2.83
28121,28122,0.3,Ideal,E,VS1,60.0,56.0,663,4.39,4.41,2.64
28125,28126,0.35,Good,E,VS1,63.1,56.0,663,4.49,4.54,2.85
28126,28127,0.29,Very Good,F,VVS2,60.2,58.0,664,4.29,4.35,2.6
28130,28131,0.29,Very Good,E,VVS2,58.5,58.0,664,4.35,4.37,2.55
28133,28134,0.29,Very Good,F,VVS1,62.3,58.0,664,4.22,4.25,2.64
28135,28136,0.29,Ideal,D,VVS2,62.8,56.0,664,4.23,4.3,2.68
28139,28140,0.41,Ideal,G,SI2,61.7,55.0,664,4.78,4.81,2.96
28144,28145,0.3,Ideal,G,VVS2,62.3,57.0,665,4.29,4.32,2.68
28149,28150,0.3,Ideal,G,VVS2,62.4,57.0,665,4.27,4.29,2.67
28150,28151,0.3,Ideal,G,VVS2,61.0,57.0,665,4.31,4.34,2.64
28154,28155,0.3,Ideal,H,VVS1,61.4,56.0,665,4.32,4.35,2.66
28156,28157,0.3,Ideal,H,VVS1,62.0,56.0,665,4.29,4.32,2.67
28173,28174,0.36,Premium,H,SI1,59.3,60.0,665,4.65,4.62,2.75
28175,28176,0.35,Ideal,F,VS1,62.4,55.0,665,4.49,4.52,2.81
28179,28180,0.37,Premium,H,SI1,63.0,58.0,666,4.59,4.55,2.88
28183,28184,0.37,Premium,H,SI1,60.4,59.0,666,4.63,4.58,2.78
28184,28185,0.37,Premium,E,SI2,59.5,61.0,666,4.7,4.68,2.79
28186,28187,0.4,Good,D,SI2,63.4,56.0,666,4.67,4.73,2.98
28189,28190,0.4,Very Good,H,SI1,62.8,59.0,666,4.67,4.69,2.94
28192,28193,0.4,Premium,D,SI2,61.9,58.0,666,4.71,4.73,2.92
28193,28194,0.4,Ideal,H,SI1,62.0,56.0,666,4.68,4.74,2.92
28195,28196,0.38,Premium,G,SI1,60.0,60.0,666,4.65,4.72,2.81
28197,28198,0.4,Premium,D,SI2,61.1,58.0,666,4.73,4.76,2.9
28199,28200,0.4,Premium,E,SI2,61.4,59.0,666,4.7,4.75,2.9
28206,28207,0.38,Ideal,G,SI1,61.3,56.0,666,4.63,4.67,2.85
28214,28215,0.38,Good,J,VVS2,63.4,56.0,666,4.56,4.62,2.91
28219,28220,0.33,Premium,G,VS1,60.3,59.0,666,4.44,4.52,2.7
28221,28222,0.33,Ideal,F,VS2,60.5,55.0,666,4.47,4.55,2.73
28224,28225,0.33,Ideal,F,VS2,62.1,55.0,666,4.45,4.47,2.77
28227,28228,0.33,Premium,G,VS1,60.5,58.0,666,4.43,4.49,2.7
28229,28230,0.33,Very Good,F,VS2,61.2,58.0,666,4.45,4.5,2.74
28232,28233,0.33,Ideal,F,VS2,61.9,57.0,666,4.4,4.42,2.73
28233,28234,0.33,Ideal,F,VS2,61.6,56.0,666,4.44,4.46,2.74
28236,28237,0.33,Ideal,F,VS2,62.3,56.0,666,4.43,4.46,2.77
28238,28239,0.33,Ideal,G,VS1,61.4,54.0,666,4.44,4.48,2.74
28240,28241,0.33,Ideal,G,VS1,62.1,56.0,666,4.4,4.42,2.74
28241,28242,0.33,Premium,H,VVS2,61.6,58.0,666,4.42,4.45,2.73
28242,28243,0.33,Premium,G,VS1,61.8,59.0,666,4.39,4.45,2.73
28254,28255,0.33,Ideal,F,VS2,62.3,55.0,666,4.42,4.47,2.77
28255,28256,0.33,Premium,F,VS2,62.1,59.0,666,4.4,4.45,2.75
28260,28261,0.24,Very Good,E,VS1,61.5,57.0,357,3.99,4.07,2.48
28262,28263,0.25,Ideal,H,SI1,62.8,54.0,357,4.05,4.07,2.55
28266,28267,0.28,Very Good,H,SI1,61.5,56.0,360,4.21,4.24,2.6
28275,28276,0.26,Ideal,H,SI2,62.5,53.0,362,4.09,4.13,2.57
28278,28279,0.31,Very Good,J,SI1,62.7,59.0,363,4.29,4.32,2.7
28282,28283,0.23,Ideal,G,SI1,62.0,54.0,364,3.95,3.99,2.46
28283,28284,0.23,Ideal,G,SI1,62.1,53.0,364,3.93,3.96,2.45
28289,28290,0.3,Ideal,I,SI2,61.9,56.0,367,4.3,4.32,2.67
28292,28293,0.24,Ideal,I,VS1,62.0,56.0,432,4.0,4.01,2.48
28302,28303,0.32,Ideal,I,SI1,60.7,57.0,432,4.42,4.47,2.7
28303,28304,0.32,Very Good,I,SI1,62.8,58.0,432,4.34,4.39,2.74
28305,28306,0.3,Very Good,H,SI1,60.9,59.0,432,4.29,4.31,2.62
28307,28308,0.3,Very Good,H,SI1,62.9,57.0,432,4.22,4.27,2.67
28319,28320,0.24,Very Good,H,VVS2,60.7,58.0,432,4.04,4.07,2.46
28322,28323,0.33,Ideal,F,VS2,62.1,54.0,666,4.43,4.46,2.76
28323,28324,0.33,Very Good,G,VS1,62.0,59.0,666,4.36,4.42,2.72
28327,28328,0.33,Ideal,F,VS2,61.4,57.0,666,4.45,4.48,2.74
28328,28329,0.33,Ideal,G,VS1,62.1,54.0,666,4.45,4.47,2.77
28329,28330,0.33,Ideal,F,VS2,61.9,55.0,666,4.43,4.46,2.75
28332,28333,0.33,Premium,G,VS1,62.4,59.0,666,4.41,4.47,2.77
28338,28339,0.33,Premium,G,VS1,62.2,58.0,666,4.39,4.42,2.74
28351,28352,0.31,Very Good,F,VS2,61.4,58.4,667,4.37,4.4,2.69
28358,28359,0.4,Ideal,I,VS2,62.4,53.0,667,4.75,4.77,2.97
28365,28366,0.36,Ideal,F,SI1,62.7,57.0,667,4.56,4.53,2.85
28375,28376,0.24,Premium,E,VVS1,60.3,61.0,668,4.06,4.03,2.44
28382,28383,0.33,Very Good,I,VS1,63.1,56.0,668,4.4,4.38,2.77
28383,28384,0.33,Premium,I,VS1,62.7,58.0,668,4.43,4.4,2.77
28388,28389,0.33,Ideal,H,VS2,61.2,55.0,668,4.47,4.45,2.73
28392,28393,0.33,Good,H,VS2,63.8,55.0,668,4.44,4.4,2.82
28395,28396,0.33,Premium,H,VS2,62.8,59.0,668,4.44,4.38,2.77
28396,28397,0.33,Premium,H,VS2,61.7,59.0,668,4.42,4.39,2.72
28399,28400,0.35,Very Good,E,VS2,60.2,60.0,669,4.54,4.57,2.74
28404,28405,0.35,Very Good,D,SI2,63.3,55.0,669,4.49,4.45,2.83
28419,28420,0.43,Ideal,H,SI1,62.1,57.0,669,4.77,4.83,2.98
28422,28423,0.42,Very Good,H,SI1,61.5,54.0,670,4.87,4.89,3.0
28424,28425,0.39,Ideal,H,VS2,62.0,54.4,670,4.67,4.72,2.91
28426,28427,0.3,Ideal,D,VS2,61.2,57.0,670,4.29,4.34,2.64
28434,28435,0.3,Ideal,E,VS1,61.8,56.0,670,4.32,4.35,2.68
28436,28437,0.3,Ideal,E,VS1,62.1,58.0,670,4.27,4.3,2.66
28440,28441,0.39,Very Good,E,SI1,59.1,59.0,670,4.76,4.81,2.83
28444,28445,0.31,Ideal,G,VVS2,61.5,57.0,671,4.32,4.36,2.67
28445,28446,0.31,Ideal,H,VVS1,61.2,58.0,671,4.35,4.38,2.67
28454,28455,0.41,Very Good,G,SI1,62.8,58.0,671,4.72,4.74,2.97
28456,28457,0.33,Very Good,G,VVS2,63.0,56.0,672,4.42,4.47,2.8
28461,28462,0.32,Very Good,H,VVS1,62.3,56.0,672,4.35,4.37,2.72
28462,28463,0.32,Very Good,H,VVS1,61.2,57.0,672,4.39,4.42,2.69
28473,28474,0.32,Premium,G,VS2,60.1,61.0,672,4.44,4.41,2.66
28474,28475,0.32,Ideal,G,VS2,62.0,57.0,672,4.41,4.37,2.72
28479,28480,0.32,Premium,E,SI1,61.2,58.0,672,4.42,4.37,2.69
28485,28486,0.34,Premium,H,VVS1,61.2,58.0,672,4.48,4.51,2.75
28486,28487,0.4,Good,G,SI2,60.6,55.8,672,4.76,4.82,2.91
28489,28490,0.29,Ideal,G,VVS1,60.2,56.0,673,4.29,4.33,2.59
28493,28494,0.3,Ideal,E,VS2,61.5,55.0,673,4.3,4.34,2.66
28498,28499,0.3,Ideal,E,VS1,62.0,53.0,673,4.31,4.33,2.68
28499,28500,0.3,Ideal,E,VS1,61.1,58.0,673,4.3,4.34,2.64
28505,28506,0.3,Ideal,G,VS1,61.1,56.0,673,4.36,4.35,2.66
28512,28513,0.4,Very Good,G,SI1,61.7,61.0,673,4.63,4.68,2.87
28527,28528,0.31,Very Good,F,VS1,60.9,56.0,675,4.37,4.38,2.66
28530,28531,0.39,Ideal,G,SI1,61.0,55.0,675,4.75,4.82,2.92
28535,28536,0.4,Premium,J,SI1,61.4,58.0,675,4.79,4.76,2.93
28542,28543,0.3,Good,E,SI1,63.7,59.0,675,4.27,4.21,2.7
28546,28547,0.3,Premium,I,VVS2,61.7,58.0,675,4.37,4.28,2.67
28547,28548,0.3,Premium,I,VVS2,61.0,60.0,675,4.36,4.3,2.64
28548,28549,0.3,Very Good,I,VVS2,60.1,63.0,675,4.31,4.28,2.58
28555,28556,0.3,Ideal,H,VS1,61.6,57.0,675,4.33,4.3,2.66
28564,28565,0.3,Ideal,H,VS1,62.2,57.0,675,4.3,4.28,2.67
28567,28568,0.3,Premium,H,VS1,62.3,58.0,675,4.28,4.26,2.66
28573,28574,0.3,Premium,H,VS1,63.0,58.0,675,4.28,4.23,2.68
28578,28579,0.3,Very Good,H,VS1,63.3,57.0,675,4.25,4.22,2.68
28580,28581,0.3,Premium,G,VS2,60.6,60.0,675,4.34,4.3,2.62
28582,28583,0.3,Ideal,G,VS2,61.7,56.0,675,4.35,4.31,2.67
28585,28586,0.3,Good,G,VS2,63.9,55.0,675,4.28,4.27,2.73
28591,28592,0.3,Premium,G,VS2,61.6,60.0,675,4.33,4.28,2.65
28597,28598,0.3,Very Good,G,VS2,63.1,56.0,675,4.28,4.25,2.69
28598,28599,0.3,Very Good,G,VS2,63.5,54.0,675,4.28,4.25,2.71
28607,28608,0.3,Ideal,E,SI1,62.9,57.0,675,4.32,4.27,2.7
28610,28611,0.3,Ideal,E,SI1,62.9,57.0,675,4.3,4.25,2.69
28613,28614,0.3,Ideal,E,SI1,62.9,56.0,675,4.31,4.24,2.69
28616,28617,0.3,Good,E,SI1,63.7,58.0,675,4.27,4.24,2.71
28623,28624,0.33,Ideal,H,SI2,61.1,57.0,433,4.46,4.48,2.73
28625,28626,0.33,Ideal,H,SI2,61.4,55.0,433,4.47,4.49,2.75
28626,28627,0.23,Very Good,H,VVS1,61.6,56.0,434,3.94,3.97,2.43
28628,28629,0.26,Ideal,H,VS2,62.1,55.0,434,4.08,4.1,2.54
28629,28630,0.26,Ideal,H,VS2,61.3,56.0,434,4.09,4.13,2.52
28632,28633,0.32,Ideal,H,SI1,61.5,55.0,434,4.41,4.43,2.72
28640,28641,0.33,Ideal,G,SI2,61.9,56.0,434,4.41,4.45,2.74
28641,28642,0.33,Premium,F,SI2,62.3,58.0,434,4.4,4.43,2.75
28645,28646,0.33,Very Good,F,SI2,63.0,58.0,434,4.4,4.42,2.78
28646,28647,0.29,Ideal,J,VS1,61.8,56.0,435,4.23,4.26,2.62
28652,28653,0.3,Premium,E,SI1,60.0,60.0,675,4.38,4.36,2.62
28654,28655,0.32,Very Good,G,VVS1,60.9,57.0,676,4.41,4.44,2.69
28656,28657,0.35,Ideal,G,VVS2,61.9,57.0,676,4.49,4.52,2.79
28663,28664,0.31,Ideal,G,VVS2,61.2,54.0,677,4.38,4.41,2.69
28666,28667,0.29,Ideal,E,SI1,60.4,54.0,677,4.32,4.36,2.62
28667,28668,0.39,Ideal,E,SI1,60.6,57.0,677,4.75,4.79,2.89
28673,28674,0.24,Ideal,E,VVS2,61.4,57.0,678,4.0,4.04,2.47
28678,28679,0.24,Ideal,E,VVS1,60.2,57.0,678,4.02,4.07,2.44
28680,28681,0.24,Ideal,F,IF,62.9,55.0,678,3.96,3.98,2.5
28682,28683,0.24,Ideal,F,IF,61.0,57.0,678,4.04,4.07,2.47
28684,28685,0.3,Good,G,VVS1,64.0,57.0,678,4.23,4.27,2.72
28685,28686,0.3,Good,G,VVS2,62.6,58.0,678,4.25,4.28,2.67
28688,28689,0.36,Very Good,G,VS1,60.6,60.0,678,4.57,4.61,2.78
28689,28690,0.26,Very Good,F,VVS1,60.8,58.0,679,4.11,4.18,2.52
28701,28702,0.3,Very Good,G,VVS1,61.1,57.0,680,4.33,4.37,2.66
28707,28708,0.38,Ideal,H,SI1,61.5,56.0,680,4.67,4.69,2.88
28711,28712,0.23,Premium,E,VVS2,61.8,58.0,680,3.94,3.92,2.43
28715,28716,0.23,Premium,E,VVS1,61.1,60.0,680,4.01,3.95,2.43
28722,28723,0.31,Premium,E,VS2,62.7,58.0,680,4.31,4.33,2.71
28727,28728,0.31,Ideal,E,VS2,61.6,57.0,680,4.35,4.38,2.69
28728,28729,0.31,Ideal,E,VS2,61.7,56.0,680,4.31,4.35,2.67
28732,28733,0.31,Ideal,E,VS2,61.5,55.0,680,4.37,4.41,2.7
28734,28735,0.31,Ideal,E,VS2,62.0,56.0,680,4.34,4.37,2.7
28737,28738,0.31,Ideal,E,VS2,61.6,56.0,680,4.32,4.38,2.68
28738,28739,0.31,Premium,E,VS2,61.3,60.0,680,4.32,4.39,2.67
28741,28742,0.31,Premium,E,VS2,60.0,59.0,680,4.35,4.39,2.62
28746,28747,0.31,Ideal,E,VS2,61.4,54.0,680,4.33,4.4,2.68
28747,28748,0.31,Ideal,E,VS2,61.8,54.0,680,4.34,4.37,2.69
28750,28751,0.31,Premium,E,VS2,60.3,58.0,680,4.37,4.42,2.65
28751,28752,0.31,Very Good,E,VS2,62.9,57.0,680,4.3,4.35,2.72
28753,28754,0.31,Ideal,E,VS2,61.4,54.0,680,4.38,4.41,2.7
28757,28758,0.31,Ideal,E,VS2,61.8,55.0,680,4.37,4.4,2.71
28759,28760,0.31,Very Good,E,VS2,61.7,58.0,680,4.31,4.34,2.67
28760,28761,0.31,Ideal,E,VS2,60.9,57.0,680,4.34,4.36,2.65
28773,28774,0.33,Very Good,G,VS1,60.8,57.0,681,4.5,4.51,2.74
28780,28781,0.33,Ideal,E,VS2,59.3,58.0,681,4.53,4.51,2.68
28788,28789,0.37,Good,D,SI1,63.7,55.0,681,4.55,4.59,2.91
28799,28800,0.27,Very Good,F,VVS1,61.8,56.0,682,4.17,4.19,2.58
28805,28806,0.33,Ideal,E,VS2,62.4,54.0,682,4.44,4.47,2.78
28808,28809,0.32,Ideal,E,SI1,61.5,55.0,682,4.4,4.44,2.72
28811,28812,0.4,Good,E,SI1,64.2,56.0,682,4.66,4.69,3.0
28815,28816,0.41,Ideal,H,SI1,61.2,56.0,683,4.77,4.81,2.93
28817,28818,0.31,Ideal,D,VS1,62.0,54.0,683,4.35,4.36,2.7
28824,28825,0.41,Premium,H,SI1,61.7,60.0,683,4.71,4.75,2.92
28831,28832,0.41,Premium,E,SI2,61.3,59.0,683,4.8,4.85,2.96
28832,28833,0.41,Very Good,E,SI2,61.3,57.0,683,4.79,4.83,2.95
28837,28838,0.41,Premium,D,SI2,62.3,58.0,683,4.73,4.77,2.96
28839,28840,0.41,Ideal,D,SI2,62.3,57.0,683,4.75,4.78,2.97
28840,28841,0.41,Ideal,D,SI2,62.7,55.0,683,4.72,4.75,2.97
28847,28848,0.41,Very Good,H,SI1,62.4,56.0,683,4.74,4.78,2.97
28854,28855,0.41,Premium,H,SI1,60.9,60.0,683,4.79,4.83,2.93
28860,28861,0.3,Ideal,F,VVS2,62.3,54.0,684,4.32,4.35,2.7
28867,28868,0.32,Premium,F,SI1,62.3,55.0,684,4.44,4.39,2.75
28868,28869,0.37,Ideal,H,SI1,59.7,56.0,684,4.71,4.67,2.8
28869,28870,0.32,Premium,F,SI1,60.0,59.0,684,4.45,4.42,2.66
28871,28872,0.32,Premium,F,SI1,62.7,57.0,684,4.4,4.37,2.75
28874,28875,0.32,Ideal,J,IF,62.2,56.0,684,4.41,4.37,2.73
